iter	Passed	Remaining
0	23	12431
1	43	11477
2	59	10424
3	78	10348
4	100	10554
5	116	10179
6	132	9884
7	147	9646
8	168	9752
9	186	9692
10	202	9562
11	223	9644
12	248	9892
13	272	10032
14	292	10045
15	314	10092
16	335	10122
17	356	10151
18	378	10182
19	399	10175
20	418	10133
21	438	10121
22	462	10191
23	485	10234
24	509	10283
25	530	10277
26	555	10350
27	577	10345
28	601	10394
29	621	10351
30	643	10352
31	665	10349
32	688	10370
33	712	10398
34	736	10417
35	753	10339
36	775	10326
37	791	10244
38	812	10223
39	832	10193
40	848	10118
41	868	10090
42	890	10085
43	907	10023
44	925	9972
45	944	9942
46	963	9902
47	983	9873
48	1011	9928
49	1046	10048
50	1082	10168
51	1114	10247
52	1140	10267
53	1168	10299
54	1190	10280
55	1210	10247
56	1230	10209
57	1257	10234
58	1279	10214
59	1298	10168
60	1318	10133
61	1341	10128
62	1360	10086
63	1386	10094
64	1411	10099
65	1434	10085
66	1454	10048
67	1472	10001
68	1496	9999
69	1517	9975
70	1538	9948
71	1562	9937
72	1587	9936
73	1609	9914
74	1632	9903
75	1653	9875
76	1676	9864
77	1700	9852
78	1725	9853
79	1743	9805
80	1763	9777
81	1784	9751
82	1803	9711
83	1821	9669
84	1838	9623
85	1857	9588
86	1877	9560
87	1898	9538
88	1917	9502
89	1941	9489
90	1960	9455
91	1980	9429
92	2000	9398
93	2020	9370
94	2040	9341
95	2060	9313
96	2088	9322
97	2131	9394
98	2155	9382
99	2177	9361
100	2200	9347
101	2218	9306
102	2243	9301
103	2269	9297
104	2290	9269
105	2311	9244
106	2334	9229
107	2352	9193
108	2371	9158
109	2393	9136
110	2414	9115
111	2436	9093
112	2455	9060
113	2472	9022
114	2496	9007
115	2517	8985
116	2537	8957
117	2560	8938
118	2580	8912
119	2605	8900
120	2625	8873
121	2646	8852
122	2665	8819
123	2687	8798
124	2705	8767
125	2729	8752
126	2748	8722
127	2769	8698
128	2792	8681
129	2812	8654
130	2832	8626
131	2852	8601
